trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.18, 'e': 0.9780309147241483}",20,0,-22.737734555253343,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
43,False,"{'a': 0.18, 'e': 0.9769763942068623}",20,0,-83.89199299427655,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
44,False,"{'a': 0.18, 'e': 0.9758974493306055}",25,0,-96.42310614032102,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
45,False,"{'a': 0.18, 'e': 0.9747941070689433}",25,0,-189.29469809449427,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
46,False,"{'a': 0.18, 'e': 0.9736663950053749}",20,10,18.606288829283116,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.18, 'e': 0.972514341332643}",30,15,-74.25580996369686,"{0: 9, 1: 3, 2: 1, 3: 1, 4: 1}",1
48,False,"{'a': 0.18, 'e': 0.9713379748520297}",25,0,-211.22125391277052,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
49,False,"{'a': 0.18, 'e': 0.9701373249726354}",25,0,-67.58059322780895,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
50,False,"{'a': 0.18, 'e': 0.9689124217106447}",30,0,-124.20785012202937,"{0: 18, 1: 7, 2: 3, 3: 0, 4: 2}",0
51,False,"{'a': 0.18, 'e': 0.9676632956885756}",20,0,-119.21605694915195,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
52,False,"{'a': 0.18, 'e': 0.9663899781345132}",25,0,-147.40003840869062,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
53,False,"{'a': 0.18, 'e': 0.9650925008813303}",25,0,-53.42329137840476,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
54,False,"{'a': 0.18, 'e': 0.9637708963658905}",20,0,-103.33428016564012,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
55,False,"{'a': 0.18, 'e': 0.962425197628238}",25,0,-123.33537247713906,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
56,False,"{'a': 0.18, 'e': 0.9610554383107709}",20,0,-73.02095091041767,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
57,False,"{'a': 0.18, 'e': 0.9596616526574011}",30,0,-101.54736760215765,"{0: 16, 1: 6, 2: 7, 3: 1, 4: 0}",0
58,False,"{'a': 0.18, 'e': 0.9582438755126972}",30,0,-140.62990817848342,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
59,False,"{'a': 0.18, 'e': 0.9568021423210139}",30,0,-144.94492907214962,"{0: 18, 1: 5, 2: 2, 3: 4, 4: 1}",0
60,False,"{'a': 0.18, 'e': 0.955336489125606}",20,0,-168.91591580688882,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
61,False,"{'a': 0.18, 'e': 0.9538469525677271}",30,0,-236.84603899879446,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 5}",0
62,False,"{'a': 0.18, 'e': 0.9523335698857134}",25,0,-65.48932344537602,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
63,False,"{'a': 0.18, 'e': 0.9507963789140532}",25,0,-110.35348658024122,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
64,False,"{'a': 0.18, 'e': 0.9492354180824408}",20,0,-103.85357858549884,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
65,False,"{'a': 0.18, 'e': 0.9476507264148157}",20,6,-107.11339915339167,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 2}",1
66,False,"{'a': 0.18, 'e': 0.946042343528387}",20,9,-92.38330837798543,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 2}",1
67,False,"{'a': 0.18, 'e': 0.944410309632643}",25,0,-60.089381588497936,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
68,False,"{'a': 0.18, 'e': 0.9427546655283462}",20,0,-55.87739365275841,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
69,False,"{'a': 0.18, 'e': 0.941075452606513}",25,0,-108.4640226171283,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
70,False,"{'a': 0.18, 'e': 0.9393727128473789}",20,0,-132.19221954859566,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
71,False,"{'a': 0.18, 'e': 0.9376464888193493}",20,0,-119.66091656148554,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
72,False,"{'a': 0.18, 'e': 0.9358968236779348}",25,0,-151.68459246256322,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
73,False,"{'a': 0.18, 'e': 0.9341237611646731}",25,0,-112.32928600924892,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
74,False,"{'a': 0.18, 'e': 0.9323273456060345}",20,0,-17.245021328321904,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
75,False,"{'a': 0.18, 'e': 0.9305076219123143}",25,0,-82.57828793258201,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
76,False,"{'a': 0.18, 'e': 0.9286646355765102}",20,0,-102.48864997382128,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
77,False,"{'a': 0.18, 'e': 0.9267984326731847}",20,0,-141.0527600908669,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
78,False,"{'a': 0.18, 'e': 0.9249090598573131}",20,0,-71.74547377934361,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
79,False,"{'a': 0.18, 'e': 0.9229965643631173}",20,0,-89.5332282679134,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
80,False,"{'a': 0.18, 'e': 0.9210609940028851}",20,0,-202.82073531145244,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
81,False,"{'a': 0.18, 'e': 0.9191023971657747}",25,0,-198.02832422140804,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
82,False,"{'a': 0.18, 'e': 0.9171208228166051}",30,0,-205.79748308153827,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
83,False,"{'a': 0.18, 'e': 0.9151163204946318}",25,0,-83.63738548628913,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
84,False,"{'a': 0.18, 'e': 0.9130889403123083}",20,0,-22.675622531452525,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
85,False,"{'a': 0.18, 'e': 0.9110387329540337}",20,6,-95.00657000833246,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 2}",1
86,False,"{'a': 0.18, 'e': 0.9089657496748851}",20,0,-137.83404479518936,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
